spelling,IPA,pronunciation
column,kɑləm,kalem
com,kɑm,kam
comb,koʊm,kom
combine,kəmbaɪn,kemb5n
combine,kɑmbaɪn,kamb5n
combing,koʊmɪŋ,kom1N
come,kʌm,k^m
comedian,kəmidiən,kemidien
comely,kʌmli,k^mli
comes,kʌmz,k^mz
comet,kɑmət,kamet
comfort,kʌmfɚrt,k^mf3rt
comfortable,kʌmfɚrtəbəl,k^mf3rtebel
comfy,kʌmfi,k^mfi
comic,kɑmɪk,kam1k
comics,kɑmɪks,kam1ks
coming,kʌmɪŋ,k^m1N
comma,kɑmə,kame
command,kəmænd,kem@nd
commander,kəmændɚr,kem@nd3r
commandment,kəmændmənt,kem@ndment
commence,kəmɛns,kemEns
comment,kɑmənt,kament
comments,kɑmɛnts,kamEnts
commercial,kəmɚrʃəl,kem3rSel
commercials,kəmɚrʃəlz,kem3rSelz
commit,kəmɪt,kem1t
committed,kəmɪtɪd,kem1t1d
committee,kəmɪti,kem1ti
common,kɑmən,kamen
commune,kɑmjun,kamjun
communicate,kəmjunəkeɪt,kemjunek8t
communion,kəmjunjən,kemjunjen
community,kəmjunəti,kemjuneti
community,kəmjunɪti,kemjun1ti
companion,kəmpænjən,kemp@njen
company,kʌmpəni,k^mpeni
compare,kəmpɛr,kempEr
compartment,kəmpɑrtmənt,kempartment
compass,kʌmpəs,k^mpes
compassion,kəmpæʃən,kemp@Sen
compete,kəmpit,kempit
competition,kɑmpətɪʃən,kampet1Sen
complain,kəmpleɪn,kempl8n
complete,kəmplit,kemplit
completely,kəmplitli,kemplitli
complicated,kɑmpləkeɪtəd,kamplek8ted
compliment,kɑmpləmənt,kamplement
composer,kəmpoʊzɚr,kempoz3r
compressed,kəmprɛst,kemprEst
compromised,kɑmprəmaɪzd,kamprem5zd
computer,kəmpjutɚr,kempjut3r
comrade,kɑmræd,kamr@d
comrades,kɑmrædz,kamr@dz
con,kɑn,kan
concentrate,kɑnsəntreɪt,kansentr8t
concentration,kɑnsəntreɪʃən,kansentr8Sen
concern,kənsɚrn,kens3rn
concerned,kənsɚrnd,kens3rnd
concerning,kənsɚrnɪŋ,kens3rn1N
concert,kɑnsɚrt,kans3rt
concierge,kɑnsiɚrʒ,kansi3rZ
conciliatory,kənsɪliətɔri,kens1lietcri
conclusions,kənkluʒənz,kenkluZenz
concrete,kɑnkrit,kankrit
concrete,kənkrit,kenkrit
condemn,kəndɛm,kendEm
condense,kəndɛns,kendEns
condition,kəndɪʃən,kend1Sen
conditioner,kəndɪʃənɚr,kend1Sen3r
condom,kɑndəm,kandem
condoms,kɑndəmz,kandemz
conduct,kɑndʌkt,kand^kt
conduct,kəndʌkt,kend^kt
conductor,kəndʌktɚr,kend^kt3r
cone,koʊn,kon
conference,kɑnfɚrəns,kanf3rens
conference,kɑnfrəns,kanfrens
confess,kənfɛs,kenfEs
confessed,kənfɛst,kenfEst
confession,kənfɛʃən,kenfESen
confetti,kənfɛti,kenfEti
confidence,kɑnfədɛns,kanfedEns
confirm,kənfɚrm,kenf3rm
confirmation,kɑnfɚrmeɪʃən,kanf3rm8Sen
confuse,kənfjuz,kenfjuz
confused,kənfjuzd,kenfjuzd
confusing,kənfjuzɪŋ,kenfjuz1N
congeniality,kəndʒiniæləti,kenGini@leti
congratulations,kəngrætʃəleɪʃənz,kengr@Cel8Senz
congress,kɑŋgrəs,kaNgres
congressman,kɑngrəsmən,kangresmen
conjure,kɑndʒɚr,kanG3r
connect,kənɛkt,kenEkt
connected,kənɛktɪd,kenEkt1d
connecticut,kənɛtɪkət,kenEt1ket
connection,kənɛkʃən,kenEkSen
connie,kɔni,kcni
connoisseur,kɑnəsɚr,kanes3r
conquer,kɑnkɚr,kank3r
conscience,kɑnʃəns,kanSens
consequence,kɑnsəkwəns,kansekwens
consider,kənsɪdɚr,kens1d3r
consideration,kənsɪdɚreɪʃən,kens1d3r8Sen
considered,kənsɪdɚrd,kens1d3rd
considering,kənsɪdɚrɪŋ,kens1d3r1N
consist,kənsɪst,kens1st
consistent,kənsɪstənt,kens1stent
constituency,kənstɪtʃuənsi,kenst1Cuensi
constitution,kɑnstətuʃən,kanstetuSen
construction,kənstrʌkʃən,kenstr^kSen
consult,kənsʌlt,kens^lt
contact,kɑntækt,kant@kt
contagion,kənteɪdʒən,kent8Gen
contain,kənteɪn,kent8n
contained,kənteɪnd,kent8nd
container,kənteɪnɚr,kent8n3r
containment,kənteɪnmənt,kent8nment
contains,kənteɪnz,kent8nz
contempt,kəntɛmpt,kentEmpt
contest,kɑntɛst,kantEst
contest,kəntɛst,kentEst
contestant,kəntɛstənt,kentEstent
continue,kəntɪnju,kent1nju
continues,kəntɪnjuz,kent1njuz
contract,kɑntrækt,kantr@kt
contracts,kəntrækts,kentr@kts
contracts,kɑntrækts,kantr@kts
contrive,kəntraɪv,kentr5v
control,kəntroʊl,kentrol
controllable,kəntroʊləbəl,kentrolebel
conundrum,kənʌndrəm,ken^ndrem
convenience,kənviniəns,kenviniens
convent,kɑnvənt,kanvent
conversation,kɑnvɚrseɪʃən,kanv3rs8Sen
conversations,kɑnvɚrseɪʃəns,kanv3rs8Sens
convert,kənvɚrt,kenv3rt
convert,kɑnvɚrt,kanv3rt
convict,kʌnvɪkt,k^nv1kt
convict,kɑnvɪkt,kanv1kt
conviction,kənvɪkʃən,kenv1kSen
convince,kənvɪns,kenv1ns
convinced,kənvɪnst,kenv1nst
convincing,kənvɪnsɪŋ,kenv1ns1N
convoy,kɑnvɔɪ,kanv2
coo,ku,ku
cook,kʊk,kUk
cookbook,kʊkbʊk,kUkbUk
cooker,kʊkɚr,kUk3r
cookie,kʊki,kUki
cookies,kʊkiz,kUkiz
cooking,kʊkɪŋ,kUk1N
cookout,kʊkaʊt,kUkOt
cool,kul,kul
cooler,kulɚr,kul3r
coolness,kulnəs,kulnes
coop,kup,kup
cooper,kupɚr,kup3r
cootie,kuti,kuti
cop,kɑp,kap
cope,koʊp,kop
copper,kɑpɚr,kap3r
cops,kɑps,kaps
copy,kɑpi,kapi
copycat,kɑpikæt,kapik@t
cord,kɔrd,kcrd
core,kɔr,kcr
cork,kɔrk,kcrk
corn,kɔrn,kcrn
cornbread,kɔrnbrɛd,kcrnbrEd
corncob,kɔrnkɑb,kcrnkab
corner,kɔrnɚr,kcrn3r
corners,kɔrnɚrz,kcrn3rz
cornfield,kɔrnfild,kcrnfild
cornmeal,kɔrnmil,kcrnmil
cornstalk,kɔrnstɔk,kcrnstck
coroner,kɔrənɚr,kcren3r
corporal,kɔrpɚrəl,kcrp3rel
corps,kɔr,kcr
corpse,kɔrps,kcrps
corpuscular,kɔrpʌskjulɚr,kcrp^skjul3r
corral,kəræl,ker@l
correct,kərɛkt,kerEkt
corrections,kərɛkʃənz,kerEkSenz
correctly,kərɛktli,kerEktli
corridor,kɔrədɔr,kcredcr
corrupt,kərʌpt,ker^pt
cost,kɔst,kcst
costs,kɔsts,kcsts
costs,kɑsts,kasts
costume,kɑstum,kastum
costumes,kɑstumz,kastumz
cot,kɑt,kat
cottage,kɑtɪdʒ,kat1G
cotton,kɑtən,katen
couch,kaʊtʃ,kOC
cougar,kugɚr,kug3r
cough,kɔf,kcf
coughing,kɔfɪŋ,kcf1N
could,kʊd,kUd
council,kaʊnsəl,kOnsel
counsel,kaʊnsəl,kOnsel
count,kaʊnt,kOnt
countdown,kaʊntdaʊn,kOntdOn
counted,kaʊntɪd,kOnt1d
counter,kaʊntɚr,kOnt3r
countersue,kaʊntɚrsu,kOnt3rsu
countess,kaʊntəs,kOntes
counting,kaʊntɪŋ,kOnt1N
country,kʌntri,k^ntri
county,kaʊnti,kOnti
coup,ku,ku
coupe,kup,kup
couple,kəpəl,kepel
coupon,kupɑn,kupan
courage,kɚrɪdʒ,k3r1G
courier,kɚriɚr,k3ri3r
course,kɔrs,kcrs
court,kɔrt,kcrt
courteous,kɚrtiəs,k3rties
courtesy,kɚrtəsi,k3rtesi
courts,kɔrts,kcrts
cousin,kʌzən,k^zen
cove,koʊv,kov
cover,kʌvɚr,k^v3r
coverage,kʌvɚrɪdʒ,k^v3r1G
coverage,kʌvɚrədʒ,k^v3reG
coverage,kʌvrɪdʒ,k^vr1G
covered,kʌvɚrd,k^v3rd
cow,kaʊ,kO
coward,kaʊɚrd,kO3rd
cowboy,kaʊbɔɪ,kOb2
cower,kaʊɚr,kO3r
cowgirl,kaʊgɚrl,kOg3rl
cowl,kaʊl,kOl
cox,kɑks,kaks
coy,kɔɪ,k2
coyote,kaɪoʊti,k5oti
coyote,kaɪoʊt,k5ot
cozy,koʊzi,kozi
crab,kræb,kr@b
crack,kræk,kr@k
cracker,krækɚr,kr@k3r
crackers,krækɚrz,kr@k3rz
cracking,krækɪŋ,kr@k1N
crackle,krækəl,kr@kel
cracks,kræks,kr@ks
cradle,kreɪdəl,kr8del
craft,kræft,kr@ft
crag,kræg,kr@g
cram,kræm,kr@m
cramp,kræmp,kr@mp
cranberry,krænbɛri,kr@nbEri
crane,kreɪn,kr8n
crank,kræŋk,kr@Nk
cranky,kræŋki,kr@Nki
crap,kræp,kr@p
crappy,kræpi,kr@pi
crash,kræʃ,kr@S
crashing,kræʃɪŋ,kr@S1N
crass,kræs,kr@s
crate,kreɪt,kr8t
crater,kreɪtɚr,kr8t3r
crave,kreɪv,kr8v
crawl,krɔl,krcl
crawler,krɔlɚr,krcl3r
crawlers,krɔlɚrz,krcl3rz
crayon,kreɪjɑn,kr8jan
craze,kreɪz,kr8z
crazy,kreɪzi,kr8zi
creak,krik,krik
creaky,kriki,kriki
cream,krim,krim
creamy,krimi,krimi
crease,kris,kris
create,krieɪt,kri8t
created,krieɪtəd,kri8ted
created,krieɪtɪd,kri8t1d
creation,krieɪʃən,kri8Sen
creator,krieɪtɚr,kri8t3r
creature,kritʃɚr,kriC3r
creche,krɛʃ,krES
credit,krɛdət,krEdet
creed,krid,krid
creek,krik,krik
creep,krip,krip
creeps,krips,krips
creepy,kripi,kripi
crepe,kreɪp,kr8p
crept,krɛpt,krEpt
crescendo,krɪʃɛndoʊ,kr1SEndo
crescent,krɛsɛnt,krEsEnt
crest,krɛst,krEst
crevice,krɛvɪs,krEv1s
crew,kru,kru
crib,krɪb,kr1b
cricket,krɪkɪt,kr1k1t
crier,kraɪɚr,kr53r
crime,kraɪm,kr5m
criminal,krɪmənəl,kr1menel
crisis,kraɪsəs,kr5ses
crisp,krɪsp,kr1sp
crispy,krɪspi,kr1spi
crisscross,krɪskrɔs,kr1skrcs
critic,krɪtɪk,kr1t1k
critter,krɪtɚr,kr1t3r
croak,kroʊk,krok
crock,krɑk,krak
crocodile,krɑkədaɪl,kraked5l
croissant,krəsɑnt,kresant
crone,kroʊn,kron
crook,krʊk,krUk
crooked,krʊkəd,krUked
croon,krun,krun
crop,krɑp,krap
croquet,kroʊkeɪ,krok8
cross,krɔs,krcs
crossed,krɔst,krcst
crosswalk,krɑswɑk,kraswak
crossword,krɔswɚrd,krcsw3rd
crouch,kraʊtʃ,krOC
crouton,krutɑn,krutan
crow,kroʊ,kro
crowd,kraʊd,krOd
crown,kraʊn,krOn
crucial,kruʃəl,kruSel
crucifix,krusəfɪks,krusef1ks
cruddy,krʌdi,kr^di
crude,krud,krud
cruel,krul,krul
cruel,kruəl,kruel
cruise,kruz,kruz
crumb,krʌm,kr^m
crumble,krʌmbəl,kr^mbel
crumbly,krʌmbli,kr^mbli
crummy,krʌmi,kr^mi
crumple,krʌmpəl,kr^mpel
crunch,krʌntʃ,kr^nC
crunchy,krʌntʃi,kr^nCi
crush,krʌʃ,kr^S
crust,krʌst,kr^st
crutch,krʌtʃ,kr^C
crutches,krʌtʃɪz,kr^C1z
crux,krʌks,kr^ks
cry,kraɪ,kr5
crybaby,kraɪbeɪbi,kr5b8bi
crying,kraɪɪŋ,kr51N
crypt,krɪpt,kr1pt
crystal,krɪstəl,kr1stel
csar,zɑr,zar
cub,kʌb,k^b
cubby,kʌbi,k^bi
cubbyhole,kʌbihoʊl,k^bihol
cube,kjub,kjub
cuckoo,kuku,kuku
cucumber,kjukʌmbɚr,kjuk^mb3r
cud,kʌd,k^d
cuddle,kʌdəl,k^del
cue,kju,kju
cuff,kʌf,k^f
cuffs,kʌfs,k^fs
cuisine,kwɪzin,kw1zin
cull,kʌl,k^l
cult,kʌlt,k^lt
culture,kʌltʃɚr,k^lC3r
cunt,kʌnt,k^nt
cup,kʌp,k^p
cupboard,kʌbɚrd,k^b3rd
cupcake,kʌpkeɪk,k^pk8k
cupful,kʌpfʊl,k^pfUl
cups,kʌps,k^ps
cur,kɚr,k3r
curate,kjʊreɪt,kjUr8t
curb,kɚrb,k3rb
curd,kɚrd,k3rd
cure,kjʊr,kjUr
cured,kjʊrd,kjUrd
curfew,kɚrfju,k3rfju
curious,kjʊriəs,kjUries
curl,kɚrl,k3rl
curler,kɚrlɚr,k3rl3r
curly,kɚrli,k3rli
current,kɚrənt,k3rent
curse,kɚrs,k3rs
cursive,kɚrsɪv,k3rs1v
curt,kɚrt,k3rt
curtain,kɚrtən,k3rten
curtains,kɚrtənz,k3rtenz
curve,kɚrv,k3rv
curved,kɚrvd,k3rvd
cushion,kʊʃən,kUSen
cusp,kʌsp,k^sp
cuss,kʌs,k^s
custard,kʌstɚrd,k^st3rd
custodian,kʌstoʊdiən,k^stodien
custody,kʌstədi,k^stedi
custom,kʌstəm,k^stem
customer,kʌstəmɚr,k^stem3r
customers,kʌstəmɚrz,k^stem3rz
customs,kʌstəmz,k^stemz
cut,kʌt,k^t
cutaneous,kjuteɪniəs,kjut8nies
cute,kjut,kjut
cuteness,kjutnəs,kjutnes
cutesy,kjutsi,kjutsi
cutie,kjuti,kjuti
cutout,kʌtaʊt,k^tOt
cutter,kʌtɚr,k^t3r
cutting,kʌtɪŋ,k^t1N
cycle,saɪkəl,s5kel
cylinder,sɪlɪndɚr,s1l1nd3r
cymbals,sɪmbəlz,s1mbelz
cyst,sɪst,s1st
czar,zɑr,zar
dab,dæb,d@b
dachshund,dɑkshʊnd,dakshUnd
dad,dæd,d@d
daddy,dædi,d@di
daffodil,dæfədɪl,d@fed1l
dagger,dægɚr,d@g3r
daily,deɪli,d8li
dainty,deɪnti,d8nti
dairy,dɛri,dEri
daisy,deɪzi,d8zi
dale,deɪl,d8l
dalmatian,dælmeɪʃən,d@lm8Sen
dam,dæm,d@m
damage,dæmədʒ,d@meG
damage,dæmɪdʒ,d@m1G
dame,deɪm,d8m
damn,dæm,d@m
damned,dæmd,d@md
damp,dæmp,d@mp
damsel,dæmzəl,d@mzel
dan,dæn,d@n
dance,dæns,d@ns
dancer,dænsɚr,d@ns3r
dancers,dænsɚrz,d@ns3rz
dances,dænsəz,d@nsez
dances,dænsɪz,d@ns1z
dancing,dænsɪŋ,d@ns1N
dandelion,dændəlaɪən,d@ndel5en
dandy,dændi,d@ndi
dane,deɪn,d8n
dang,dæŋ,d@N
danger,deɪndʒɚr,d8nG3r
dangerous,deɪndʒɚrəs,d8nG3res
dangle,dæŋgəl,d@Ngel
daniel,dænjəl,d@njel
dank,dæŋk,d@Nk
danny,dæni,d@ni
dante,dɑnteɪ,dant8
daphne,dæfni,d@fni
dare,dɛr,dEr
daredevil,dɛrdɛvəl,dErdEvel
dark,dɑrk,dark
darken,dɑrkən,darken
darkened,dɑrkənd,darkend
darkness,dɑrknəs,darknes
darling,dɑrlɪŋ,darl1N
darn,dɑrn,darn
dart,dɑrt,dart
darts,dɑrts,darts
dash,dæʃ,d@S
data,deɪtə,d8te
data,dætə,d@te
database,dætəbeɪs,d@teb8s
database,deɪtəbeɪs,d8teb8s
date,deɪt,d8t
dates,deɪts,d8ts
dating,deɪtɪŋ,d8t1N
daughter,dɔtɚr,dct3r
daunt,dɔnt,dcnt
dave,deɪv,d8v
david,deɪvɪd,d8v1d
davis,deɪvɪs,d8v1s
davis,deɪvəs,d8ves
dawn,dɔn,dcn
day,deɪ,d8
daycare,deɪkɛr,d8kEr
daydreamer,deɪdrimɚr,d8drim3r
daylight,deɪlaɪt,d8l5t
days,deɪz,d8z
daytime,deɪtaɪm,d8t5m
daze,deɪz,d8z
dazzle,dæzəl,d@zel
dead,dɛd,dEd
deadline,dɛdlaɪn,dEdl5n
deadly,dɛdli,dEdli
deaf,dɛf,dEf
deafness,dɛfnəs,dEfnes
deal,dil,dil
dealer,dilɚr,dil3r
dealers,dilɚrz,dil3rz
dealing,dilɪŋ,dil1N
dealt,dɛlt,dElt
dean,din,din
dear,dɪr,d1r
dearly,dɪrli,d1rli
dearth,dɚrθ,d3rT
death,dɛθ,dET
debilitate,dəbɪləteɪt,deb1let8t
deborah,dɛbɚrə,dEb3re
debt,dɛt,dEt
debtor,dɛtɚr,dEt3r
debts,dɛts,dEts
debut,deɪbju,d8bju
decade,dɛkeɪd,dEk8d
deceased,dɪsist,d1sist
december,dɪsɛmbɚr,d1sEmb3r
decency,disənsi,disensi
decent,disənt,disent
decibel,dɛsəbɛl,dEsebEl
decide,dɪsaɪd,d1s5d
decided,dɪsaɪdɪd,d1s5d1d
deciduous,dɪsɪdʒuəs,d1s1Gues
decimal,dɛsəməl,dEsemel
decision,dɪsɪʒən,d1s1Zen
decisions,dɪsɪʒənz,d1s1Zenz
deck,dɛk,dEk
declared,dɪklɛrd,d1klErd
decorate,dɛkɚreɪt,dEk3r8t
decorated,dɛkɚreɪtəd,dEk3r8ted
decorated,dɛkɚreɪtɪd,dEk3r8t1d
decoration,dɛkɚreɪʃən,dEk3r8Sen
decoy,dikɔɪ,dik2
deduct,dɪdʌkt,d1d^kt
deed,did,did
deem,dim,dim
deep,dip,dip
deeper,dipɚr,dip3r
deepest,dipəst,dipest
deeply,dipli,dipli
deer,dɪr,d1r
defeated,dɪfitəd,d1fited
defeated,dɪfitɪd,d1fit1d
defend,dɪfɛnd,d1fEnd
defendant,dɪfɛndənt,d1fEndent
defense,dɪfɛns,d1fEns
defensive,dɪfɛnsɪv,d1fEns1v
define,dɪfaɪn,d1f5n
definite,dɛfənɪt,dEfen1t
definitely,dɛfənətli,dEfenetli
definition,dɛfənɪʃən,dEfen1Sen
deformed,dɪfɔrmd,d1fcrmd
defrost,dɪfrɔst,d1frcst
deft,dɛft,dEft
degree,dɪgri,d1gri
degrees,dɪgriz,d1griz
deity,diəti,dieti
delayed,dɪleɪd,d1l8d
delete,dɪlit,d1lit
deliberately,dɪlɪbrətli,d1l1bretli
deliberately,dɪlɪbɚrətli,d1l1b3retli
delicious,dɪlɪʃəs,d1l1Ses
delight,dɪlaɪt,d1l5t
delirious,dɪlɪriəs,d1l1ries
deliver,dɪlɪvɚr,d1l1v3r
delivered,dɪlɪvɚrd,d1l1v3rd
delivering,dɪlɪvɚrɪŋ,d1l1v3r1N
delivery,dɪlɪvɚri,d1l1v3ri
dell,dɛl,dEl
delta,dɛltə,dElte
demagogue,dɛməgɑg,dEmegag
demand,dɪmænd,d1m@nd
demise,dɪmaɪz,d1m5z
democracy,dɪmɑkrəsi,d1makresi
demon,dimən,dimen
demonstrate,dɛmənstreɪt,dEmenstr8t
den,dɛn,dEn
denial,dɪnaɪəl,d1n5el
denim,dɛnəm,dEnem
denizen,dɛnəzɛn,dEnezEn
dennis,dɛnɪs,dEn1s
dense,dɛns,dEns
dent,dɛnt,dEnt
dental,dɛntəl,dEntel
dentist,dɛntəst,dEntest
dentist,dɛntɪst,dEnt1st
deny,dənaɪ,den5
department,dɪpɑrtmənt,d1partment
departure,dɪpɑrtʃɚr,d1parC3r
dependent,dɪpɛndənt,d1pEndent
depending,dɪpɛndɪŋ,d1pEnd1N
depends,dɪpɛndz,d1pEndz
depot,dipoʊ,dipo
depressed,dɪprɛst,d1prEst
depressing,dɪprɛsɪŋ,d1prEs1N
depth,dɛpθ,dEpT
deputy,dɛpjuti,dEpjuti
deputy,dɛpjəti,dEpjeti
describe,dɪskraɪb,d1skr5b
desert,dɛzɚrt,dEz3rt
desert,dɪzɚrt,d1z3rt
deserted,dɪzɚrtɪd,d1z3rt1d
deserve,dɪzɚrv,d1z3rv
deserves,dɪzɚrvz,d1z3rvz
deserving,dɪzɚrvɪŋ,d1z3rv1N
design,dɪzaɪn,d1z5n
designed,dɪzaɪnd,d1z5nd
designer,dɪzaɪnɚr,d1z5n3r
desirable,dɪzaɪrəbəl,d1z5rebel
desirable,dɪzaɪrəbəl,d1z5rebel
desire,dɪzaɪɚr,d1z53r
desires,dɪzaɪrz,d1z5rz
desk,dɛsk,dEsk
despair,dɪspɛr,d1spEr
desperate,dɛsprɪt,dEspr1t
desperate,dɛspɚrɪt,dEsp3r1t
desperately,dɛspɚrətli,dEsp3retli
desperately,dɛsprətli,dEspretli
despise,dɪspaɪz,d1sp5z
despite,dɪspaɪt,d1sp5t
dessert,dɪzɚrt,d1z3rt
desserts,dɪzɚrts,d1z3rts
destination,dɛstəneɪʃən,dEsten8Sen
destination,dɛstɪneɪʃən,dEst1n8Sen
destiny,dɛstəni,dEsteni
destroy,dɪstrɔɪ,d1str2
destroyed,dɪstrɔɪd,d1str2d
destruction,dɪstrʌkʃən,d1str^kSen
destructive,dɪstrʌktɪv,d1str^kt1v
detail,dəteɪl,det8l
detailed,dɪteɪld,d1t8ld
detailed,diteɪld,dit8ld
details,diteɪlz,dit8lz
details,dɪteɪlz,d1t8lz
detect,dɪtɛkt,d1tEkt
detective,dɪtɛktɪv,d1tEkt1v
detention,dɪtɛnʃən,d1tEnSen
detergent,dɪtɚrdʒənt,d1t3rGent
deteriorate,dɪtɪriɚreɪt,d1t1ri3r8t
determine,dətɚrmən,det3rmen
deuce,dus,dus
develop,dɪvɛləp,d1vElep
developing,dɪvɛləpɪŋ,d1vElep1N
device,dɪvaɪs,d1v5s
devil,dɛvəl,dEvel
deviled,dɛvəld,dEveld
devils,dɛvəlz,dEvelz
devise,dɪvaɪz,d1v5z
devon,dɛvən,dEven
dew,du,du
dexter,dɛkstɚr,dEkst3r
diagnose,daɪəgnoʊz,d5egnoz
diagonal,daɪægənəl,d5@genel
dial,daɪl,d5l
dial,daɪəl,d5el
dialogue,daɪəlɑg,d5elag
diamond,daɪmənd,d5mend
diamonds,daɪməndz,d5mendz
diane,daɪæn,d5@n
diaper,daɪpɚr,d5p3r
diapers,daɪəpɚrz,d5ep3rz
diapers,daɪpɚrz,d5p3rz
diarrhea,daɪəriə,d5erie
diarrhoea,daɪəriə,d5erie
diary,daɪɚri,d53ri
diary,daɪri,d5ri
dibs,dɪbz,d1bz
dice,daɪs,d5s
dick,dɪk,d1k
dickie,dɪki,d1ki
dictionary,dɪkʃənɛri,d1kSenEri
did,dɪd,d1d
die,daɪ,d5
died,daɪd,d5d
dies,daɪz,d5z
diet,daɪət,d5et
differ,dɪfɚr,d1f3r
difference,dɪfɚrəns,d1f3rens
difference,dɪfrəns,d1frens
differences,dɪfrənsəz,d1frensez
differences,dɪfɚrənsəz,d1f3rensez
different,dɪfɚrənt,d1f3rent
different,dɪfrənt,d1frent
difficult,dɪfəkəlt,d1fekelt
difficulty,dɪfəkəlti,d1fekelti
difficulty,dɪfɪkəlti,d1f1kelti
dig,dɪg,d1g
digest,daɪdʒɛst,d5GEst
digger,dɪgɚr,d1g3r
digit,dɪdʒət,d1Get
digital,dɪdʒɪtəl,d1G1tel
digital,dɪdʒətəl,d1Getel
digress,daɪgrɛs,d5grEs
dike,daɪk,d5k
dilemma,dɪlɛmə,d1lEme
dill,dɪl,d1l
dim,dɪm,d1m
dime,daɪm,d5m
dimension,dɪmɛnʃən,d1mEnSen
dimple,dɪmpəl,d1mpel
din,dɪn,d1n
dine,daɪn,d5n
diner,daɪnɚr,d5n3r
ding,dɪŋ,d1N
dingdong,dɪŋdɔŋ,d1NdcN
dining,daɪnɪŋ,d5n1N
dink,dɪŋk,d1Nk
dinner,dɪnɚr,d1n3r
dinners,dɪnɚrz,d1n3rz
dinnertime,dɪnɚrtaɪm,d1n3rt5m
dinosaur,daɪnəsɔr,d5nescr
dint,dɪnt,d1nt
dip,dɪp,d1p
diplomatic,dɪpləmætɪk,d1plem@t1k
dipper,dɪpɚr,d1p3r
dire,daɪɚr,d53r
dire,daɪr,d5r
direct,dɚrɛkt,d3rEkt
direct,dɪrɛkt,d1rEkt
direct,daɪrɛkt,d5rEkt
directed,dɚrɛktəd,d3rEkted
directed,dɚrɛktɪd,d3rEkt1d
directed,daɪrɛktɪd,d5rEkt1d
direction,dɚrɛkʃən,d3rEkSen
direction,dirɛkʃən,dirEkSen
direction,daɪrɛkʃən,d5rEkSen
direction,dɪrɛkʃən,d1rEkSen
directly,dɚrɛktli,d3rEktli
directly,dirɛktli,dirEktli
directly,dɪrɛktli,d1rEktli
directly,daɪrɛktli,d5rEktli
director,dɚrɛktɚr,d3rEkt3r
directors,dɚrɛktɚrz,d3rEkt3rz
directors,dɪrɛktɚrz,d1rEkt3rz
directors,daɪrɛktɚrz,d5rEkt3rz
dirge,dɚrdʒ,d3rG
dirt,dɚrt,d3rt
dirtiness,dɚrtinəs,d3rtines
dirty,dɚrti,d3rti
disabled,dɪseɪbəld,d1s8beld
disappear,dɪsəpɪr,d1sep1r
disappear,dɪsəpir,d1sepir
disappeared,dɪsəpɪrd,d1sep1rd
disappeared,dɪsəpird,d1sepird
disappoint,dɪsəpɔɪnt,d1sep2nt
disappointed,dɪsəpɔɪntɪd,d1sep2nt1d
disappointment,dɪsəpɔɪntmənt,d1sep2ntment
disapprove,dɪsəpruv,d1sepruv
disaster,dɪzæstɚr,d1z@st3r
disc,dɪsk,d1sk
discharge,dɪstʃɑrdʒ,d1sCarG
disciple,dɪsaɪpəl,d1s5pel
discipline,dɪsəplən,d1seplen
disco,dɪskoʊ,d1sko
discount,dɪskaʊnt,d1skOnt
discover,dɪskʌvɚr,d1sk^v3r
discovered,dɪskʌvɚrd,d1sk^v3rd
discreet,dɪskrit,d1skrit
discuss,dɪskʌs,d1sk^s
discussion,dɪskʌʃən,d1sk^Sen
disdain,dɪsdeɪn,d1sd8n
disease,dɪziz,d1ziz
disgrace,dɪsgreɪs,d1sgr8s
disgust,dɪsgʌst,d1sg^st
disgusting,dɪsgʌstɪŋ,d1sg^st1N
dish,dɪʃ,d1S
dishonest,dɪsɑnəst,d1sanest
dishonesty,dɪsɑnəsti,d1sanesti
dishwasher,dɪʃwɑʃɚr,d1SwaS3r
dishwashing,dɪʃwɑʃɪŋ,d1SwaS1N
disk,dɪsk,d1sk
dislike,dɪslaɪk,d1sl5k
dismay,dɪsmeɪ,d1sm8
dismiss,dɪsmɪs,d1sm1s
disobedience,dɪsəbidiəns,d1sebidiens
disobedience,dɪsoʊbidiəns,d1sobidiens
disobedient,dɪsəbidiənt,d1sebidient
disobedient,dɪsoʊbidiənt,d1sobidient
disobey,dɪsoʊbeɪ,d1sob8
disperse,dɪspɚrs,d1sp3rs
display,dɪspleɪ,d1spl8
disposal,dɪspoʊzəl,d1spozel
disquisition,dɪskwɪzɪʃən,d1skw1z1Sen
disrespect,dɪsrɪspɛkt,d1sr1spEkt
disrespectful,dɪsrɪspɛktfəl,d1sr1spEktfel
distance,dɪstəns,d1stens
distinct,dɪstɪŋkt,d1st1Nkt
distinguished,dɪstɪŋgwɪʃt,d1st1Ngw1St
distract,dɪstrækt,d1str@kt
distress,dɪstrɛs,d1strEs
district,dɪstrɪkt,d1str1kt
distrust,dɪstrʌst,d1str^st
ditch,dɪtʃ,d1C
ditz,dɪts,d1ts
ditz,dɪts,d1ts
ditzes,dɪtsɪz,d1ts1z
dive,daɪv,d5v
diver,daɪvɚr,d5v3r
divert,daɪvɚrt,d5v3rt
divide,dɪvaɪd,d1v5d
dividend,dɪvədɛnd,d1vedEnd
divine,dɪvaɪn,d1v5n
diving,daɪvɪŋ,d5v1N
division,dɪvɪʒən,d1v1Zen
